name,field,city,state,location,mailing_address,phone,email,certified,detail_url,about,social_media,logo,highlights,photos_count,timestamp,photos
"A Classical Studio, Inc",,,,,,,,Yes,https://www.classicist.org/membership-directory/a-classical-studio-inc/,,[],https://www.classicist.org/assets/images/member-logo/_memberLogo/New-ACS-Blue-square-sign-with-Interiors.jpg,[],0,1769021544.372164,"[{'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-classical-studio-Custom-home.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-classical-studio-Custom-home.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}]"
A. A. Ford Interiors,Interior Designer,Knoxville,TN,,,(731) 445-4794,aaford.com,No,https://www.classicist.org/membership-directory/a-a-ford-interiors/,,[],,[],0,1769021544.372164,[]
A. Ottavino Corp.,Vendor / Manufacturer,80-60 Pitkin AvenueOzone Park,NY 11417(718) 848-9404,,,,ottavinostone.com,No,https://www.classicist.org/membership-directory/a-ottavino-corp/,,[],,[],0,1769021544.372164,[]
