name,field,city,state,location,mailing_address,phone,email,certified,detail_url,about,social_media,logo,highlights,photos_count,timestamp,photos
"A Classical Studio, Inc",,,,,,,,Yes,https://www.classicist.org/membership-directory/a-classical-studio-inc/,,[],https://www.classicist.org/assets/images/member-logo/_memberLogo/New-ACS-Blue-square-sign-with-Interiors.jpg,[],0,1769021544.372164,"[{'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-classical-studio-Custom-home.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-classical-studio-Custom-home.jpg', 'alt': ''}, {'url': 'https://www.classicist.org/assets/images/member-slider/_heroSlider/A-Classical-Studio-Custom-Tudor-Style.jpg', 'alt': ''}]"
A. A. Ford Interiors,,,,,,,,No,https://www.classicist.org/membership-directory/a-a-ford-interiors/,,[],,[],0,1769021544.372164,[]
A. Ottavino Corp.,,,,,,,,No,https://www.classicist.org/membership-directory/a-ottavino-corp/,,[],,[],0,1769021544.372164,[]
